districtid,timeid,cases
Andaman and Nicobar Islands_Unknown,month_1,0
Andhra Pradesh_Anantapur,month_1,83
Andhra Pradesh_Chittoor,month_1,135
Andhra Pradesh_East Godavari,month_1,20
Andhra Pradesh_Foreign Evacuees,month_1,62
Andhra Pradesh_Guntur,month_1,212
Andhra Pradesh_Krishna,month_1,219
Andhra Pradesh_Kurnool,month_1,359
Andhra Pradesh_Other State,month_1,153
Andhra Pradesh_Prakasam,month_1,11
Andhra Pradesh_S.P.S. Nellore,month_1,110
Andhra Pradesh_Srikakulam,month_1,13
Andhra Pradesh_Visakhapatnam,month_1,59
Andhra Pradesh_Vizianagaram,month_1,16
Andhra Pradesh_West Godavari,month_1,24
Andhra Pradesh_Y.S.R. Kadapa,month_1,49
Arunachal Pradesh_Anjaw,month_1,0
Arunachal Pradesh_Capital Complex,month_1,0
Arunachal Pradesh_Changlang,month_1,0
Arunachal Pradesh_East Kameng,month_1,0
Arunachal Pradesh_East Siang,month_1,0
Arunachal Pradesh_Kamle,month_1,0
Arunachal Pradesh_Kra Daadi,month_1,0
Arunachal Pradesh_Kurung Kumey,month_1,0
Arunachal Pradesh_Lepa Rada,month_1,0
Arunachal Pradesh_Lohit,month_1,0
Arunachal Pradesh_Longding,month_1,0
Arunachal Pradesh_Lower Dibang Valley,month_1,0
Arunachal Pradesh_Lower Siang,month_1,0
Arunachal Pradesh_Lower Subansiri,month_1,0
Arunachal Pradesh_Namsai,month_1,0
Arunachal Pradesh_Pakke Kessang,month_1,0
Arunachal Pradesh_Papum Pare,month_1,1
Arunachal Pradesh_Shi Yomi,month_1,0
Arunachal Pradesh_Siang,month_1,0
Arunachal Pradesh_Tawang,month_1,0
Arunachal Pradesh_Tirap,month_1,0
Arunachal Pradesh_Upper Dibang Valley,month_1,0
Arunachal Pradesh_Upper Siang,month_1,0
Arunachal Pradesh_Upper Subansiri,month_1,0
Arunachal Pradesh_West Kameng,month_1,0
Arunachal Pradesh_West Siang,month_1,0
Assam_Dibrugarh,month_1,0
Assam_Udalguri,month_1,0
Assam_Unknown,month_1,513
Bihar_Araria,month_1,11
Bihar_Arwal,month_1,29
