districtid,timeid,cases
Andaman and Nicobar Islands_Unknown,overall,7548
Andhra Pradesh_Anantapur,overall,156771
Andhra Pradesh_Chittoor,overall,234871
Andhra Pradesh_East Godavari,overall,282389
Andhra Pradesh_Foreign Evacuees,overall,434
Andhra Pradesh_Guntur,overall,170493
Andhra Pradesh_Krishna,overall,111599
Andhra Pradesh_Kurnool,overall,123572
Andhra Pradesh_Other State,overall,2461
Andhra Pradesh_Prakasam,overall,131787
Andhra Pradesh_S.P.S. Nellore,overall,137357
Andhra Pradesh_Srikakulam,overall,121390
Andhra Pradesh_Visakhapatnam,overall,153698
Andhra Pradesh_Vizianagaram,overall,81776
Andhra Pradesh_West Godavari,overall,171987
Andhra Pradesh_Y.S.R. Kadapa,overall,111606
Arunachal Pradesh_Anjaw,overall,994
Arunachal Pradesh_Capital Complex,overall,0
Arunachal Pradesh_Changlang,overall,3655
Arunachal Pradesh_East Kameng,overall,1071
Arunachal Pradesh_East Siang,overall,2963
Arunachal Pradesh_Kamle,overall,478
Arunachal Pradesh_Kra Daadi,overall,260
Arunachal Pradesh_Kurung Kumey,overall,507
Arunachal Pradesh_Lepa Rada,overall,792
Arunachal Pradesh_Lohit,overall,2688
Arunachal Pradesh_Longding,overall,731
Arunachal Pradesh_Lower Dibang Valley,overall,2168
Arunachal Pradesh_Lower Siang,overall,709
Arunachal Pradesh_Lower Subansiri,overall,2647
Arunachal Pradesh_Namsai,overall,1969
Arunachal Pradesh_Pakke Kessang,overall,396
Arunachal Pradesh_Papum Pare,overall,17303
Arunachal Pradesh_Shi Yomi,overall,224
Arunachal Pradesh_Siang,overall,393
Arunachal Pradesh_Tawang,overall,2299
Arunachal Pradesh_Tirap,overall,1008
Arunachal Pradesh_Upper Dibang Valley,overall,290
Arunachal Pradesh_Upper Siang,overall,896
Arunachal Pradesh_Upper Subansiri,overall,1914
Arunachal Pradesh_West Kameng,overall,3207
Arunachal Pradesh_West Siang,overall,1738
Assam_Dibrugarh,overall,0
Assam_Udalguri,overall,0
Assam_Unknown,overall,579488
Bihar_Araria,overall,14963
Bihar_Arwal,overall,7379
Bihar_Aurangabad,overall,20010
Bihar_Banka,overall,7379
Bihar_Begusarai,overall,27183
Bihar_Bhagalpur,overall,25827
Bihar_Bhojpur,overall,10174
Bihar_Buxar,overall,9248
Bihar_Darbhanga,overall,10908
Bihar_East Champaran,overall,19000
Bihar_Gaya,overall,33940
Bihar_Gopalganj,overall,16671
Bihar_Jamui,overall,9413
Bihar_Jehanabad,overall,10774
Bihar_Kaimur,overall,4983
Bihar_Katihar,overall,18129
Bihar_Khagaria,overall,10057
Bihar_Kishanganj,overall,10107
Bihar_Lakhisarai,overall,7771
Bihar_Madhepura,overall,12523
Bihar_Madhubani,overall,18339
Bihar_Munger,overall,15102
Bihar_Muzaffarpur,overall,31382
Bihar_Nalanda,overall,23424
Bihar_Nawada,overall,10345
Bihar_Patna,overall,146846
Bihar_Purnia,overall,24413
Bihar_Rohtas,overall,13962
Bihar_Saharsa,overall,17592
Bihar_Samastipur,overall,19988
Bihar_Saran,overall,23267
Bihar_Sheikhpura,overall,7690
Bihar_Sheohar,overall,4397
Bihar_Sitamarhi,overall,9174
Bihar_Siwan,overall,15195
Bihar_Supaul,overall,17205
Bihar_Vaishali,overall,19809
Bihar_West Champaran,overall,20886
Chandigarh_Chandigarh,overall,62028
Chhattisgarh_Balod,overall,27258
Chhattisgarh_Baloda Bazar,overall,43007
Chhattisgarh_Balrampur,overall,20280
Chhattisgarh_Bametara,overall,19945
Chhattisgarh_Bastar,overall,20953
Chhattisgarh_Bijapur,overall,8269
Chhattisgarh_Bilaspur,overall,65471
Chhattisgarh_Dakshin Bastar Dantewada,overall,10754
Chhattisgarh_Dhamtari,overall,27197
Chhattisgarh_Durg,overall,96652
Chhattisgarh_Gariaband,overall,19673
Chhattisgarh_Gaurela Pendra Marwahi,overall,12006
Chhattisgarh_Janjgir Champa,overall,57461
Chhattisgarh_Jashpur,overall,26950
Chhattisgarh_Kabeerdham,overall,22770
Chhattisgarh_Kondagaon,overall,13072
Chhattisgarh_Korba,overall,54592
Chhattisgarh_Koriya,overall,26923
Chhattisgarh_Mahasamund,overall,31324
Chhattisgarh_Mungeli,overall,23893
Chhattisgarh_Narayanpur,overall,4006
Chhattisgarh_Other State,overall,766
Chhattisgarh_Raigarh,overall,62486
Chhattisgarh_Raipur,overall,157803
Chhattisgarh_Rajnandgaon,overall,56012
Chhattisgarh_Sukma,overall,7975
Chhattisgarh_Surajpur,overall,29016
Chhattisgarh_Surguja,overall,33641
Chhattisgarh_Uttar Bastar Kanker,overall,23542
Delhi_Delhi,overall,1437038
Dadra and Nagar Haveli and Daman and Diu_Dadra and Nagar Haveli,overall,5905
Dadra and Nagar Haveli and Daman and Diu_Daman,overall,3535
Dadra and Nagar Haveli and Daman and Diu_Diu,overall,1218
Goa_Unknown,overall,172431
Gujarat_Ahmedabad,overall,238044
