districtid,timeid,cases
Andaman and Nicobar Islands_Unknown,Week_1,0
Andhra Pradesh_Anantapur,Week_1,18
Andhra Pradesh_Chittoor,Week_1,7
Andhra Pradesh_East Godavari,Week_1,6
Andhra Pradesh_Foreign Evacuees,Week_1,0
Andhra Pradesh_Guntur,Week_1,94
Andhra Pradesh_Krishna,Week_1,81
Andhra Pradesh_Kurnool,Week_1,157
Andhra Pradesh_Other State,Week_1,0
Andhra Pradesh_Prakasam,Week_1,5
Andhra Pradesh_S.P.S. Nellore,Week_1,18
Andhra Pradesh_Srikakulam,Week_1,2
Andhra Pradesh_Visakhapatnam,Week_1,7
Andhra Pradesh_Vizianagaram,Week_1,0
Andhra Pradesh_West Godavari,Week_1,8
Andhra Pradesh_Y.S.R. Kadapa,Week_1,25
Arunachal Pradesh_Anjaw,Week_1,0
Arunachal Pradesh_Capital Complex,Week_1,0
Arunachal Pradesh_Changlang,Week_1,0
Arunachal Pradesh_East Kameng,Week_1,0
Arunachal Pradesh_East Siang,Week_1,0
Arunachal Pradesh_Kamle,Week_1,0
Arunachal Pradesh_Kra Daadi,Week_1,0
Arunachal Pradesh_Kurung Kumey,Week_1,0
Arunachal Pradesh_Lepa Rada,Week_1,0
Arunachal Pradesh_Lohit,Week_1,0
Arunachal Pradesh_Longding,Week_1,0
Arunachal Pradesh_Lower Dibang Valley,Week_1,0
Arunachal Pradesh_Lower Siang,Week_1,0
Arunachal Pradesh_Lower Subansiri,Week_1,0
Arunachal Pradesh_Namsai,Week_1,0
Arunachal Pradesh_Pakke Kessang,Week_1,0
Arunachal Pradesh_Papum Pare,Week_1,0
Arunachal Pradesh_Shi Yomi,Week_1,0
Arunachal Pradesh_Siang,Week_1,0
Arunachal Pradesh_Tawang,Week_1,0
Arunachal Pradesh_Tirap,Week_1,0
Arunachal Pradesh_Upper Dibang Valley,Week_1,0
Arunachal Pradesh_Upper Siang,Week_1,0
Arunachal Pradesh_Upper Subansiri,Week_1,0
Arunachal Pradesh_West Kameng,Week_1,0
Arunachal Pradesh_West Siang,Week_1,0
Assam_Dibrugarh,Week_1,0
Assam_Udalguri,Week_1,0
Assam_Unknown,Week_1,7
Bihar_Araria,Week_1,2
Bihar_Arwal,Week_1,0
Bihar_Aurangabad,Week_1,6
Bihar_Banka,Week_1,1
Bihar_Begusarai,Week_1,2
Bihar_Bhagalpur,Week_1,0
Bihar_Bhojpur,Week_1,16
Bihar_Buxar,Week_1,28
Bihar_Darbhanga,Week_1,5
Bihar_East Champaran,Week_1,0
Bihar_Gaya,Week_1,0
Bihar_Gopalganj,Week_1,6
Bihar_Jamui,Week_1,0
Bihar_Jehanabad,Week_1,3
Bihar_Kaimur,Week_1,13
Bihar_Katihar,Week_1,4
Bihar_Khagaria,Week_1,0
Bihar_Kishanganj,Week_1,0
Bihar_Lakhisarai,Week_1,3
Bihar_Madhepura,Week_1,1
Bihar_Madhubani,Week_1,18
Bihar_Munger,Week_1,27
Bihar_Muzaffarpur,Week_1,0
Bihar_Nalanda,Week_1,2
Bihar_Nawada,Week_1,1
Bihar_Patna,Week_1,11
Bihar_Purnia,Week_1,1
Bihar_Rohtas,Week_1,37
Bihar_Saharsa,Week_1,0
Bihar_Samastipur,Week_1,0
Bihar_Saran,Week_1,4
Bihar_Sheikhpura,Week_1,1
Bihar_Sheohar,Week_1,0
Bihar_Sitamarhi,Week_1,6
Bihar_Siwan,Week_1,0
Bihar_Supaul,Week_1,0
Bihar_Vaishali,Week_1,1
Bihar_West Champaran,Week_1,5
Chandigarh_Chandigarh,Week_1,58
Chhattisgarh_Balod,Week_1,0
Chhattisgarh_Baloda Bazar,Week_1,0
Chhattisgarh_Balrampur,Week_1,0
Chhattisgarh_Bametara,Week_1,0
Chhattisgarh_Bastar,Week_1,0
Chhattisgarh_Bijapur,Week_1,0
Chhattisgarh_Bilaspur,Week_1,0
Chhattisgarh_Dakshin Bastar Dantewada,Week_1,0
Chhattisgarh_Dhamtari,Week_1,0
Chhattisgarh_Durg,Week_1,0
Chhattisgarh_Gariaband,Week_1,0
Chhattisgarh_Gaurela Pendra Marwahi,Week_1,0
Chhattisgarh_Janjgir Champa,Week_1,0
Chhattisgarh_Jashpur,Week_1,0
Chhattisgarh_Kabeerdham,Week_1,0
Chhattisgarh_Kondagaon,Week_1,0
Chhattisgarh_Korba,Week_1,0
Chhattisgarh_Koriya,Week_1,0
Chhattisgarh_Mahasamund,Week_1,0
Chhattisgarh_Mungeli,Week_1,0
Chhattisgarh_Narayanpur,Week_1,0
Chhattisgarh_Other State,Week_1,0
Chhattisgarh_Raigarh,Week_1,0
Chhattisgarh_Raipur,Week_1,0
Chhattisgarh_Rajnandgaon,Week_1,0
Chhattisgarh_Sukma,Week_1,0
Chhattisgarh_Surajpur,Week_1,6
Chhattisgarh_Surguja,Week_1,0
Chhattisgarh_Uttar Bastar Kanker,Week_1,0
Delhi_Delhi,Week_1,1204
Dadra and Nagar Haveli and Daman and Diu_Dadra and Nagar Haveli,Week_1,0
Dadra and Nagar Haveli and Daman and Diu_Daman,Week_1,0
Dadra and Nagar Haveli and Daman and Diu_Diu,Week_1,0
Goa_Unknown,Week_1,0
Gujarat_Ahmedabad,Week_1,1362
Gujarat_Amreli,Week_1,0
Gujarat_Anand,Week_1,25
Gujarat_Aravalli,Week_1,1
Gujarat_Banaskantha,Week_1,1
Gujarat_Bharuch,Week_1,-2
Gujarat_Bhavnagar,Week_1,13
Gujarat_Botad,Week_1,15
Gujarat_Chhota Udaipur,Week_1,1
Gujarat_Dahod,Week_1,2
Gujarat_Dang,Week_1,1
Gujarat_Devbhumi Dwarka,Week_1,0
Gujarat_Gandhinagar,Week_1,42
Gujarat_Gir Somnath,Week_1,0
Gujarat_Jamnagar,Week_1,0
Gujarat_Junagadh,Week_1,0
Gujarat_Kheda,Week_1,3
Gujarat_Kutch,Week_1,1
Gujarat_Mahisagar,Week_1,13
Gujarat_Mehsana,Week_1,4
Gujarat_Morbi,Week_1,0
Gujarat_Narmada,Week_1,0
Gujarat_Navsari,Week_1,5
Gujarat_Other State,Week_1,0
Gujarat_Panchmahal,Week_1,21
Gujarat_Patan,Week_1,4
Gujarat_Porbandar,Week_1,0
Gujarat_Rajkot,Week_1,13
Gujarat_Sabarkantha,Week_1,0
Gujarat_Surat,Week_1,135
Gujarat_Surendranagar,Week_1,0
Gujarat_Tapi,Week_1,1
Gujarat_Vadodara,Week_1,91
Gujarat_Valsad,Week_1,1
Himachal Pradesh_Bilaspur,Week_1,0
Himachal Pradesh_Chamba,Week_1,0
Himachal Pradesh_Hamirpur,Week_1,0
Himachal Pradesh_Kangra,Week_1,0
Himachal Pradesh_Kinnaur,Week_1,0
Himachal Pradesh_Kullu,Week_1,0
Himachal Pradesh_Lahaul and Spiti,Week_1,0
Himachal Pradesh_Mandi,Week_1,0
Himachal Pradesh_Shimla,Week_1,0
Himachal Pradesh_Sirmaur,Week_1,0
Himachal Pradesh_Solan,Week_1,0
Himachal Pradesh_Una,Week_1,0
Haryana_Ambala,Week_1,1
Haryana_Bhiwani,Week_1,0
Haryana_Charkhi Dadri,Week_1,0
Haryana_Faridabad,Week_1,16
Haryana_Fatehabad,Week_1,0
Haryana_Gurugram,Week_1,12
Haryana_Hisar,Week_1,0
Haryana_Jhajjar,Week_1,40
Haryana_Jind,Week_1,0
Haryana_Kaithal,Week_1,0
Haryana_Karnal,Week_1,0
Haryana_Kurukshetra,Week_1,0
Haryana_Mahendragarh,Week_1,0
Haryana_Nuh,Week_1,1
Haryana_Palwal,Week_1,0
Haryana_Panchkula,Week_1,0
Haryana_Panipat,Week_1,1
Haryana_Rewari,Week_1,0
Haryana_Rohtak,Week_1,0
Haryana_Sirsa,Week_1,2
Haryana_Sonipat,Week_1,6
Haryana_Yamunanagar,Week_1,1
Jharkhand_Bokaro,Week_1,0
Jharkhand_Chatra,Week_1,0
Jharkhand_Deoghar,Week_1,2
Jharkhand_Dhanbad,Week_1,0
Jharkhand_Dumka,Week_1,0
Jharkhand_East Singhbhum,Week_1,0
Jharkhand_Garhwa,Week_1,0
Jharkhand_Giridih,Week_1,0
Jharkhand_Godda,Week_1,1
Jharkhand_Gumla,Week_1,0
Jharkhand_Hazaribagh,Week_1,0
Jharkhand_Jamtara,Week_1,2
Jharkhand_Khunti,Week_1,0
Jharkhand_Koderma,Week_1,0
Jharkhand_Latehar,Week_1,0
Jharkhand_Lohardaga,Week_1,0
Jharkhand_Pakur,Week_1,0
Jharkhand_Palamu,Week_1,0
Jharkhand_Ramgarh,Week_1,0
Jharkhand_Ranchi,Week_1,28
Jharkhand_Sahibganj,Week_1,0
Jharkhand_Saraikela-Kharsawan,Week_1,0
Jharkhand_Simdega,Week_1,0
Jharkhand_West Singhbhum,Week_1,0
Jammu and Kashmir_Anantnag,Week_1,51
Jammu and Kashmir_Bandipora,Week_1,4
Jammu and Kashmir_Baramulla,Week_1,26
Jammu and Kashmir_Budgam,Week_1,7
Jammu and Kashmir_Doda,Week_1,0
Jammu and Kashmir_Ganderbal,Week_1,0
Jammu and Kashmir_Jammu,Week_1,0
Jammu and Kashmir_Kathua,Week_1,0
Jammu and Kashmir_Kishtwar,Week_1,0
Jammu and Kashmir_Kulgam,Week_1,5
Jammu and Kashmir_Kupwara,Week_1,8
Jammu and Kashmir_Pulwama,Week_1,4
Jammu and Kashmir_Punch,Week_1,0
Jammu and Kashmir_Rajouri,Week_1,0
Jammu and Kashmir_Ramban,Week_1,0
Jammu and Kashmir_Reasi,Week_1,1
Jammu and Kashmir_Samba,Week_1,2
Jammu and Kashmir_Shopiyan,Week_1,14
Jammu and Kashmir_Srinagar,Week_1,21
Jammu and Kashmir_Udhampur,Week_1,0
Karnataka_Bagalkote,Week_1,6
Karnataka_Ballari,Week_1,0
Karnataka_Belagavi,Week_1,19
Karnataka_Bengaluru Rural,Week_1,0
Karnataka_Bengaluru Urban,Week_1,16
Karnataka_Bidar,Week_1,1
Karnataka_Chamarajanagara,Week_1,0
Karnataka_Chikkaballapura,Week_1,2
Karnataka_Chikkamagaluru,Week_1,0
Karnataka_Chitradurga,Week_1,0
Karnataka_Dakshina Kannada,Week_1,5
Karnataka_Davanagere,Week_1,8
Karnataka_Dharwad,Week_1,1
Karnataka_Gadag,Week_1,1
Karnataka_Hassan,Week_1,0
Karnataka_Haveri,Week_1,0
Karnataka_Kalaburagi,Week_1,17
Karnataka_Kodagu,Week_1,0
Karnataka_Kolar,Week_1,0
Karnataka_Koppal,Week_1,0
Karnataka_Mandya,Week_1,10
Karnataka_Mysuru,Week_1,1
Karnataka_Other State,Week_1,0
Karnataka_Raichur,Week_1,0
Karnataka_Ramanagara,Week_1,0
Karnataka_Shivamogga,Week_1,0
Karnataka_Tumakuru,Week_1,4
Karnataka_Udupi,Week_1,0
Karnataka_Uttara Kannada,Week_1,0
Karnataka_Vijayapura,Week_1,7
Karnataka_Yadgir,Week_1,0
Kerala_Alappuzha,Week_1,0
Kerala_Ernakulam,Week_1,0
Kerala_Idukki,Week_1,4
Kerala_Kannur,Week_1,5
Kerala_Kasaragod,Week_1,4
Kerala_Kollam,Week_1,6
Kerala_Kottayam,Week_1,6
Kerala_Kozhikode,Week_1,0
Kerala_Malappuram,Week_1,2
Kerala_Palakkad,Week_1,1
Kerala_Pathanamthitta,Week_1,0
Kerala_Thiruvananthapuram,Week_1,2
Kerala_Thrissur,Week_1,0
Kerala_Wayanad,Week_1,1
Ladakh_Kargil,Week_1,3
Ladakh_Leh,Week_1,0
Lakshadweep_Lakshadweep,Week_1,0
Maharashtra_Ahmednagar,Week_1,6
Maharashtra_Akola,Week_1,20
Maharashtra_Amravati,Week_1,11
Maharashtra_Aurangabad,Week_1,170
Maharashtra_Beed,Week_1,0
Maharashtra_Bhandara,Week_1,1
Maharashtra_Buldhana,Week_1,0
Maharashtra_Chandrapur,Week_1,1
Maharashtra_Dhule,Week_1,2
Maharashtra_Gadchiroli,Week_1,0
Maharashtra_Gondia,Week_1,0
Maharashtra_Hingoli,Week_1,29
Maharashtra_Jalgaon,Week_1,27
Maharashtra_Jalna,Week_1,6
Maharashtra_Kolhapur,Week_1,6
Maharashtra_Latur,Week_1,3
