districtid,wave1_weekid,wave2_weekid,wave1_monthid,wave2_monthid
Andaman and Nicobar Islands_Unknown,31,111,4,13
Andhra Pradesh_Anantapur,27,109,4,13
Andhra Pradesh_Chittoor,33,111,4,13
Andhra Pradesh_East Godavari,36,112,4,13
Andhra Pradesh_Foreign Evacuees,18,69,2,9
Andhra Pradesh_Guntur,38,109,4,13
Andhra Pradesh_Krishna,30,113,6,13
Andhra Pradesh_Kurnool,30,107,4,13
Andhra Pradesh_Other State,20,69,2,9
Andhra Pradesh_Prakasam,39,111,5,13
Andhra Pradesh_S.P.S. Nellore,36,110,4,13
Andhra Pradesh_Srikakulam,37,107,4,13
Andhra Pradesh_Visakhapatnam,28,111,4,13
Andhra Pradesh_Vizianagaram,40,111,4,13
Andhra Pradesh_West Godavari,40,111,5,13
Andhra Pradesh_Y.S.R. Kadapa,37,109,4,13
Arunachal Pradesh_Anjaw,45,116,5,13
Arunachal Pradesh_Capital Complex,1,69,1,9
Arunachal Pradesh_Changlang,47,113,5,13
Arunachal Pradesh_East Kameng,30,117,4,14
Arunachal Pradesh_East Siang,50,126,6,15
Arunachal Pradesh_Kamle,45,127,6,15
Arunachal Pradesh_Kra Daadi,45,118,5,14
Arunachal Pradesh_Kurung Kumey,44,124,5,14
Arunachal Pradesh_Lepa Rada,48,129,7,15
Arunachal Pradesh_Lohit,50,129,6,15
Arunachal Pradesh_Longding,43,126,5,15
Arunachal Pradesh_Lower Dibang Valley,50,105,6,13
Arunachal Pradesh_Lower Siang,45,133,5,15
Arunachal Pradesh_Lower Subansiri,41,133,5,15
Arunachal Pradesh_Namsai,29,113,6,13
Arunachal Pradesh_Pakke Kessang,42,123,5,14
Arunachal Pradesh_Papum Pare,45,129,5,15
Arunachal Pradesh_Shi Yomi,56,127,4,15
Arunachal Pradesh_Siang,51,128,6,15
Arunachal Pradesh_Tawang,37,113,4,13
Arunachal Pradesh_Tirap,48,127,6,15
Arunachal Pradesh_Upper Dibang Valley,49,113,6,13
Arunachal Pradesh_Upper Siang,51,113,6,13
Arunachal Pradesh_Upper Subansiri,33,124,4,15
Arunachal Pradesh_West Kameng,35,126,4,14
Arunachal Pradesh_West Siang,48,129,6,15
Assam_Dibrugarh,1,69,1,9
Assam_Udalguri,1,69,1,9
Assam_Unknown,44,113,5,13
Bihar_Araria,31,107,4,13
Bihar_Arwal,31,107,4,12
Bihar_Aurangabad,32,105,4,12
Bihar_Banka,29,105,5,12
Bihar_Begusarai,31,105,4,12
Bihar_Bhagalpur,30,105,3,12
Bihar_Bhojpur,30,103,4,12
Bihar_Buxar,30,104,4,12
Bihar_Darbhanga,31,107,4,12
Bihar_East Champaran,31,109,4,12
Bihar_Gaya,31,105,3,12
Bihar_Gopalganj,30,106,4,12
Bihar_Jamui,26,107,3,12
Bihar_Jehanabad,31,104,4,12
Bihar_Kaimur,31,104,4,12
Bihar_Katihar,31,108,4,12
Bihar_Khagaria,29,106,4,12
Bihar_Kishanganj,35,107,4,13
Bihar_Lakhisarai,32,104,4,12
Bihar_Madhepura,31,107,4,12
Bihar_Madhubani,33,107,4,13
Bihar_Munger,31,108,4,12
Bihar_Muzaffarpur,32,105,4,12
Bihar_Nalanda,29,106,4,12
Bihar_Nawada,48,105,5,12
Bihar_Patna,29,107,4,12
Bihar_Purnia,31,105,4,12
Bihar_Rohtas,29,105,3,12
Bihar_Saharsa,31,106,4,12
Bihar_Samastipur,30,108,4,13
Bihar_Saran,30,104,4,12
Bihar_Sheikhpura,31,106,5,12
Bihar_Sheohar,31,107,4,13
Bihar_Sitamarhi,31,106,4,12
Bihar_Siwan,30,105,3,12
Bihar_Supaul,42,106,5,13
Bihar_Vaishali,30,106,3,12
Bihar_West Champaran,31,106,4,12
Chandigarh_Chandigarh,40,108,5,12
Chhattisgarh_Balod,61,105,7,12
Chhattisgarh_Baloda Bazar,42,104,5,12
Chhattisgarh_Balrampur,53,108,6,13
Chhattisgarh_Bametara,56,101,7,12
Chhattisgarh_Bastar,43,110,5,13
Chhattisgarh_Bijapur,40,117,5,14
Chhattisgarh_Bilaspur,40,102,7,12
Chhattisgarh_Dakshin Bastar Dantewada,42,108,5,13
Chhattisgarh_Dhamtari,42,106,5,12
