districtid,monthid,dose1,dose2
AN_Nicobars,1,360,0
AN_Nicobars,2,458,305
AN_Nicobars,3,5451,235
AN_Nicobars,4,2090,1365
AN_Nicobars,5,528,1
AN_Nicobars,6,9245,4821
AN_Nicobars,7,3949,1383
AN_North and Middle Andaman,1,1114,0
AN_North and Middle Andaman,2,1097,950
AN_North and Middle Andaman,3,17742,654
AN_North and Middle Andaman,4,10097,1664
AN_North and Middle Andaman,5,3920,24
AN_North and Middle Andaman,6,17401,21074
AN_North and Middle Andaman,7,16672,4915
AN_South Andaman,1,1866,104
AN_South Andaman,2,7224,1624
AN_South Andaman,3,26004,2451
AN_South Andaman,4,26532,5778
AN_South Andaman,5,13039,239
AN_South Andaman,6,34580,31087
AN_South Andaman,7,33317,18613
AP_Anantapur,1,16362,1826
AP_Anantapur,2,49703,12830
AP_Anantapur,3,233864,18695
AP_Anantapur,4,145138,138742
AP_Anantapur,5,258736,31028
AP_Anantapur,6,332859,105668
AP_Anantapur,7,327425,288557
AP_Chittoor,1,30580,885
AP_Chittoor,2,73688,23557
AP_Chittoor,3,280448,27867
AP_Chittoor,4,140617,139320
AP_Chittoor,5,296708,45806
AP_Chittoor,6,340765,84938
AP_Chittoor,7,402361,318491
AP_East Godavari,1,40288,842
AP_East Godavari,2,83063,28937
AP_East Godavari,3,261002,37462
AP_East Godavari,4,113682,138184
AP_East Godavari,5,458146,49649
AP_East Godavari,6,456751,117805
AP_East Godavari,7,513546,179594
AP_Guntur,1,23483,1960
AP_Guntur,2,66264,19845
AP_Guntur,3,250697,33026
AP_Guntur,4,158602,117649
AP_Guntur,5,377761,59378
AP_Guntur,6,458981,115410
AP_Guntur,7,422444,245173
AP_Krishna,1,25678,1180
AP_Krishna,2,63594,22440
AP_Krishna,3,273719,23356
AP_Krishna,4,135131,165430
AP_Krishna,5,440945,45409
AP_Krishna,6,373896,135190
AP_Krishna,7,443154,164584
AP_Kurnool,1,22801,1473
AP_Kurnool,2,42247,16453
AP_Kurnool,3,227426,18196
AP_Kurnool,4,97077,117798
AP_Kurnool,5,267515,25705
AP_Kurnool,6,291832,82704
AP_Kurnool,7,293580,230299
AP_Prakasam,1,22292,392
AP_Prakasam,2,37676,12927
AP_Prakasam,3,212895,21306
AP_Prakasam,4,105082,117108
AP_Prakasam,5,288551,43988
AP_Prakasam,6,323558,65919
AP_Prakasam,7,241656,254151
AP_S.P.S. Nellore,1,33770,2081
AP_S.P.S. Nellore,2,50796,26879
AP_S.P.S. Nellore,3,199891,29260
AP_S.P.S. Nellore,4,107900,120750
AP_S.P.S. Nellore,5,263269,22458
AP_S.P.S. Nellore,6,259689,149807
AP_S.P.S. Nellore,7,242484,177454
AP_Srikakulam,1,27057,1819
AP_Srikakulam,2,41116,20044
AP_Srikakulam,3,169560,16510
AP_Srikakulam,4,79529,76444
AP_Srikakulam,5,282875,17333
AP_Srikakulam,6,256611,88602
AP_Srikakulam,7,171656,116220
AP_Visakhapatnam,1,29388,1151
AP_Visakhapatnam,2,66394,24610
AP_Visakhapatnam,3,276111,31948
AP_Visakhapatnam,4,139272,129818
AP_Visakhapatnam,5,462722,46132
AP_Visakhapatnam,6,444838,110405
AP_Visakhapatnam,7,456322,279095
AP_Vizianagaram,1,15444,1003
AP_Vizianagaram,2,29636,12410
AP_Vizianagaram,3,156256,14404
AP_Vizianagaram,4,63939,71987
AP_Vizianagaram,5,225407,11932
AP_Vizianagaram,6,215619,48514
AP_Vizianagaram,7,214526,59767
AP_West Godavari,1,20842,658
AP_West Godavari,2,59157,18470
AP_West Godavari,3,210526,33638
AP_West Godavari,4,102970,132115
AP_West Godavari,5,399288,32852
AP_West Godavari,6,450999,55785
AP_West Godavari,7,398558,158445
AP_Y.S.R. Kadapa,1,16840,1519
AP_Y.S.R. Kadapa,2,50996,12192
AP_Y.S.R. Kadapa,3,211703,22202
AP_Y.S.R. Kadapa,4,91349,115001
AP_Y.S.R. Kadapa,5,256027,32391
AP_Y.S.R. Kadapa,6,270304,86324
AP_Y.S.R. Kadapa,7,146020,125651
AR_Anjaw,1,440,48
AR_Anjaw,2,374,285
AR_Anjaw,3,1036,311
AR_Anjaw,4,1222,597
AR_Anjaw,5,2345,18
AR_Anjaw,6,4355,356
AR_Anjaw,7,1150,934
AR_Changlang,1,998,0
AR_Changlang,2,2399,841
AR_Changlang,3,7633,1449
AR_Changlang,4,7955,1970
AR_Changlang,5,11025,377
AR_Changlang,6,35300,5325
AR_Changlang,7,10280,6944
AR_East Kameng,1,319,64
AR_East Kameng,2,664,217
AR_East Kameng,3,2571,540
AR_East Kameng,4,3055,1000
AR_East Kameng,5,5331,48
AR_East Kameng,6,5597,1515
AR_East Kameng,7,2879,2799
AR_East Siang,1,959,76
AR_East Siang,2,1894,928
AR_East Siang,3,8469,1752
AR_East Siang,4,6218,5714
AR_East Siang,5,5361,35
AR_East Siang,6,26181,3248
AR_East Siang,7,2233,4327
AR_Kamle,1,168,0
AR_Kamle,2,123,162
AR_Kamle,3,511,117
AR_Kamle,4,911,256
AR_Kamle,5,888,2
AR_Kamle,6,2143,269
AR_Kamle,7,1455,731
AR_Kra Daadi,1,220,0
AR_Kra Daadi,2,163,242
AR_Kra Daadi,3,812,60
AR_Kra Daadi,4,635,415
AR_Kra Daadi,5,1507,12
AR_Kra Daadi,6,1762,210
AR_Kra Daadi,7,738,802
AR_Kurung Kumey,1,467,0
AR_Kurung Kumey,2,555,339
AR_Kurung Kumey,3,1793,183
AR_Kurung Kumey,4,934,1415
AR_Kurung Kumey,5,1015,12
AR_Kurung Kumey,6,2333,389
AR_Kurung Kumey,7,1477,509
AR_Lepa Rada,1,791,79
AR_Lepa Rada,2,999,585
AR_Lepa Rada,3,2020,579
AR_Lepa Rada,4,1083,1270
