,districtid,dose1,dose2
1,AN_Nicobars,22081,8110
2,AN_North and Middle Andaman,68043,29281
3,AN_South Andaman,142585,59896
4,AP_Anantapur,1364374,597346
5,AP_Chittoor,1565591,640864
6,AP_East Godavari,1927490,552473
7,AP_Guntur,1758535,592441
8,AP_Krishna,1756261,557589
9,AP_Kurnool,1242692,492628
10,AP_Prakasam,1231912,515791
11,AP_S.P.S. Nellore,1158076,528689
12,AP_Srikakulam,1028569,336972
13,AP_Visakhapatnam,1875574,623159
14,AP_Vizianagaram,921086,220017
15,AP_West Godavari,1642547,431963
16,AP_Y.S.R. Kadapa,1043434,395280
17,AR_Anjaw,10922,2549
18,AR_Changlang,75590,16906
19,AR_Upper Dibang Valley,3915,1234
20,AR_East Kameng,20421,6183
21,AR_East Siang,51321,16080
22,AR_Papum Pare,95012,28595
23,AR_Kamle,6199,1537
24,AR_Kra Daadi,5837,1741
25,AR_Kurung Kumey,8574,2847
26,AR_Lepa Rada,12956,4959
27,AR_Lohit,27886,6710
28,AR_Longding,17969,3265
29,AR_Lower Dibang Valley,29726,8102
30,AR_Lower Siang,15692,4567
31,AR_Lower Subansiri,24812,8151
32,AR_Namsai,57846,12607
33,AR_Pakke Kessang,7668,2984
34,AR_Papum Pare,28245,9726
35,AR_Shi Yomi,6719,2298
36,AR_Siang,13877,4273
37,AR_Tawang,27675,9166
38,AR_Tirap,29015,5633
39,AR_Upper Siang,17475,6358
40,AR_Upper Subansiri,23099,7267
41,AR_West Kameng,49879,13683
42,AR_West Siang,32647,12316
43,AS_Baksa,263822,43318
44,AS_Barpeta,503553,133271
45,AS_Biswanath,342059,50926
46,AS_Bongaigaon,269597,57107
47,AS_Cachar,489044,101114
48,AS_Charaideo,199865,31684
49,AS_Chirang,151312,32751
50,AS_Darrang,280728,57463
51,AS_Dhemaji,279226,56455
52,AS_Dhubri,328637,73776
53,AS_Dibrugarh,556467,138516
54,AS_Dima Hasao,81926,21625
55,AS_Goalpara,293385,53550
56,AS_Golaghat,489257,88744
57,AS_Hailakandi,235569,43931
58,AS_Hojai,306933,68878
59,AS_Jorhat,503031,100117
60,AS_Kamrup Metropolitan,1021908,312364
61,AS_Kamrup,607960,144232
62,AS_Karbi Anglong,149963,37250
63,AS_Karimganj,283443,60499
64,AS_Kokrajhar,261219,51130
65,AS_Lakhimpur,437664,71887
66,AS_Majuli,102129,28372
67,AS_Morigaon,353676,51176
68,AS_Nagaon,607354,132272
69,AS_Nalbari,266558,51355
70,AS_Sivasagar,348789,65529
71,AS_Sonitpur,569789,135581
72,AS_South Salmara Mankachar,147101,8487
73,AS_Tinsukia,402046,81923
74,AS_Udalguri,221841,44498
75,AS_West Karbi Anglong,74202,13119
76,BR_Araria,567117,103824
77,BR_Arwal,213962,28476
78,BR_Aurangabad,541455,71363
79,BR_Banka,487527,77742
80,BR_Begusarai,713926,112529
81,BR_Bhagalpur,894035,170988
82,BR_Bhojpur,596080,99551
83,BR_Buxar,412175,75792
84,BR_Darbhanga,977344,185612
85,BR_East Champaran,1182584,207812
86,BR_Gaya,956039,202428
87,BR_Gopalganj,535391,84542
88,BR_Jamui,385107,59472
89,BR_Jehanabad,282961,53212
90,BR_Kaimur,343454,45740
91,BR_Katihar,626223,89975
92,BR_Khagaria,366765,56768
93,BR_Kishanganj,336450,50253
94,BR_Lakhisarai,221035,33930
95,BR_Madhepura,413567,70339
96,BR_Madhubani,948197,186667
97,BR_Munger,382065,64451
98,BR_Muzaffarpur,1067700,193496
99,BR_Nalanda,769782,169833
100,BR_Nawada,487326,84583
101,BR_Patna,2510147,855821
102,BR_Purnia,829600,163272
103,BR_Rohtas,673227,110046
104,BR_Saharsa,425804,77479
105,BR_Samastipur,963863,176117
106,BR_Saran,1034080,212980
107,BR_Sheikhpura,166526,29858
108,BR_Sheohar,169238,38021
109,BR_Sitamarhi,722754,121124
110,BR_Siwan,908868,181050
111,BR_Supaul,457336,78453
112,BR_Vaishali,785921,137158
113,BR_West Champaran,811747,98510
114,CH_Chandigarh,733579,244351
115,CT_Balod,340468,104541
116,CT_Baloda Bazar,346166,84677
117,CT_Balrampur,194776,39958
118,CT_Bastar,269727,70849
119,CT_Bametara,178460,44883
120,CT_Bijapur,79453,28074
121,CT_Bilaspur,576150,192418
122,CT_Dakshin Bastar Dantewada,111700,35220
123,CT_Dhamtari,310503,91399
124,CT_Durg,612155,258651
125,CT_Gariaband,167276,39250
126,CT_Gaurela Pendra Marwahi,110668,22823
127,CT_Janjgir Champa,449745,131719
128,CT_Jashpur,261734,65103
129,CT_Uttar Bastar Kanker,245262,72095
130,CT_Kabeerdham,256111,63224
131,CT_Kondagaon,170183,32747
132,CT_Korba,418071,123357
133,CT_Koriya,182023,47728
134,CT_Mahasamund,462204,144523
135,CT_Mungeli,194402,50053
136,CT_Narayanpur,34817,11993
137,CT_Raigarh,900766,270605
138,CT_Raipur,1156518,394988
139,CT_Rajnandgaon,684394,170975
140,CT_Sukma,106266,33333
141,CT_Surajpur,229363,49171
142,CT_Surguja,334150,101524
143,DN_Dadra and Nagar Haveli,349660,41505
144,DN_Daman,210798,35274
145,DN_Diu,37922,13642
146,DL_Central Delhi,818553,307826
147,DL_East Delhi,640252,239209
148,DL_New Delhi,648056,320117
149,DL_North Delhi,664394,226801
150,DL_North East Delhi,521929,164757
151,DL_North West Delhi,958245,388152
152,DL_Shahdara,562883,219941
153,DL_South Delhi,905028,343579
154,DL_South East Delhi,787012,309115
155,DL_South West Delhi,903744,366120
156,DL_West Delhi,840906,379384
157,GA_North Goa,528276,158303
158,GA_South Goa,584539,171606
159,GJ_Ahmedabad,893804,195103
160,GJ_Ahmedabad,3270942,1017661
161,GJ_Amreli,613704,221915
162,GJ_Anand,941889,300552
163,GJ_Aravalli,486722,181254
164,GJ_Banaskantha,1351811,489198
165,GJ_Bharuch,828098,223145
166,GJ_Bhavnagar,667964,197907
167,GJ_Bhavnagar,333253,132710
168,GJ_Botad,299375,61961
169,GJ_Chhota Udaipur,431915,153733
170,GJ_Dahod,733809,355177
171,GJ_Dang,69744,17846
172,GJ_Devbhumi Dwarka,407654,136967
173,GJ_Gandhinagar,603222,156067
174,GJ_Gandhinagar,320630,101494
175,GJ_Gir Somnath,539065,145611
176,GJ_Jamnagar,462641,144289
177,GJ_Jamnagar,339373,114645
178,GJ_Junagadh,582039,193129
179,GJ_Junagadh,186763,68904
180,GJ_Kheda,889255,267484
181,GJ_Kutch,939684,265734
182,GJ_Mahisagar,441590,221624
183,GJ_Mehsana,970192,356885
184,GJ_Morbi,432833,103388
185,GJ_Narmada,293108,118086
186,GJ_Navsari,635674,229345
187,GJ_Panchmahal,679468,223003
188,GJ_Patan,570006,182788
189,GJ_Porbandar,320244,129120
190,GJ_Rajkot,812705,214503
191,GJ_Rajkot,936246,327298
192,GJ_Sabarkantha,700217,215686
193,GJ_Surat,763875,190174
194,GJ_Surat,2494141,782548
195,GJ_Surendranagar,753625,134571
196,GJ_Tapi,360557,107999
197,GJ_Vadodara,852772,224537
198,GJ_Vadodara,1245976,450272
199,GJ_Valsad,762723,269206
200,HR_Ambala,648861,256730
201,HR_Bhiwani,421560,103054
202,HR_Charkhi Dadri,307834,88366
203,HR_Faridabad,1039257,311343
204,HR_Fatehabad,326567,82393
205,HR_Gurugram,1544589,517662
206,HR_Hisar,500835,120255
207,HR_Jhajjar,389811,107813
208,HR_Jind,338393,81282
209,HR_Kaithal,334728,81923
210,HR_Karnal,548360,192305
211,HR_Kurukshetra,347878,106880
212,HR_Mahendragarh,360294,106498
213,HR_Nuh,155316,24748
214,HR_Palwal,349355,73996
215,HR_Panchkula,339498,126331
216,HR_Panipat,359823,111903
217,HR_Rewari,356215,126591
218,HR_Rohtak,385391,116915
219,HR_Sirsa,437081,122678
220,HR_Sonipat,575767,191322
221,HR_Yamunanagar,424693,140517
222,HP_Bilaspur,289995,100084
223,HP_Chamba,305027,82432
224,HP_Hamirpur,358566,134460
225,HP_Kangra,1062430,332518
226,HP_Kinnaur,74065,22933
227,HP_Kullu,295658,87375
228,HP_Lahaul and Spiti,26939,8661
229,HP_Mandi,688121,233717
230,HP_Shimla,561724,189175
231,HP_Sirmaur,327619,74356
232,HP_Solan,563827,120837
233,HP_Una,396818,127147
234,JK_Anantnag,373523,96869
