districtid,weekid,dose1,dose2
AN_Nicobars,1,206,0
AN_Nicobars,2,78,0
AN_Nicobars,3,59,0
AN_Nicobars,4,17,0
AN_Nicobars,5,36,40
AN_Nicobars,6,171,204
AN_Nicobars,7,81,6
AN_Nicobars,8,99,54
AN_Nicobars,9,395,7
AN_Nicobars,10,626,85
AN_Nicobars,11,457,14
AN_Nicobars,12,1682,85
AN_Nicobars,13,2604,48
AN_Nicobars,14,1292,123
AN_Nicobars,15,356,227
AN_Nicobars,16,161,751
AN_Nicobars,17,39,261
AN_Nicobars,18,119,0
AN_Nicobars,19,161,0
AN_Nicobars,20,10,1
AN_Nicobars,21,70,0
AN_Nicobars,22,1193,1
AN_Nicobars,23,3719,51
AN_Nicobars,24,2059,1509
AN_Nicobars,25,433,2375
AN_Nicobars,26,2646,1131
AN_Nicobars,27,1636,653
AN_Nicobars,28,1048,286
AN_Nicobars,29,465,85
AN_Nicobars,30,163,113
AN_North and Middle Andaman,1,390,0
AN_North and Middle Andaman,2,599,0
AN_North and Middle Andaman,3,123,0
AN_North and Middle Andaman,4,1,0
AN_North and Middle Andaman,5,43,367
AN_North and Middle Andaman,6,280,483
AN_North and Middle Andaman,7,391,42
AN_North and Middle Andaman,8,190,50
AN_North and Middle Andaman,9,499,33
AN_North and Middle Andaman,10,329,124
AN_North and Middle Andaman,11,982,72
AN_North and Middle Andaman,12,3277,148
AN_North and Middle Andaman,13,15367,318
AN_North and Middle Andaman,14,5847,330
AN_North and Middle Andaman,15,1196,380
AN_North and Middle Andaman,16,276,510
AN_North and Middle Andaman,17,260,411
AN_North and Middle Andaman,18,935,12
AN_North and Middle Andaman,19,1089,2
AN_North and Middle Andaman,20,357,7
AN_North and Middle Andaman,21,901,2
AN_North and Middle Andaman,22,1329,1
AN_North and Middle Andaman,23,5036,152
AN_North and Middle Andaman,24,5541,2730
AN_North and Middle Andaman,25,1452,13236
AN_North and Middle Andaman,26,4895,6202
AN_North and Middle Andaman,27,5142,1787
AN_North and Middle Andaman,28,6386,823
AN_North and Middle Andaman,29,279,360
AN_North and Middle Andaman,30,4651,699
AN_South Andaman,1,301,0
AN_South Andaman,2,463,0
AN_South Andaman,3,538,0
AN_South Andaman,4,242,0
AN_South Andaman,5,1588,539
AN_South Andaman,6,871,327
AN_South Andaman,7,1787,202
AN_South Andaman,8,2816,426
AN_South Andaman,9,962,831
AN_South Andaman,10,1001,1260
AN_South Andaman,11,1354,57
AN_South Andaman,12,6906,114
AN_South Andaman,13,19617,632
AN_South Andaman,14,12206,2276
AN_South Andaman,15,5654,1184
AN_South Andaman,16,3200,1180
AN_South Andaman,17,2120,929
AN_South Andaman,18,2493,14
AN_South Andaman,19,3462,8
AN_South Andaman,20,3287,49
AN_South Andaman,21,2766,127
AN_South Andaman,22,2971,152
AN_South Andaman,23,13373,592
AN_South Andaman,24,8401,4233
AN_South Andaman,25,4881,16103
AN_South Andaman,26,7036,13378
AN_South Andaman,27,5267,6839
AN_South Andaman,28,7267,3964
AN_South Andaman,29,6858,2254
AN_South Andaman,30,12874,2226
AP_Anantapur,1,3802,0
AP_Anantapur,2,3115,0
AP_Anantapur,3,5029,0
AP_Anantapur,4,3090,730
AP_Anantapur,5,7823,6535
AP_Anantapur,6,12487,2936
AP_Anantapur,7,5747,1603
AP_Anantapur,8,11607,1665
AP_Anantapur,9,36732,2275
AP_Anantapur,10,76134,8658
AP_Anantapur,11,41180,2254
AP_Anantapur,12,56584,3931
AP_Anantapur,13,36573,2764
AP_Anantapur,14,63040,33895
AP_Anantapur,15,49088,38962
AP_Anantapur,16,28427,54745
AP_Anantapur,17,4609,11140
AP_Anantapur,18,5383,5770
AP_Anantapur,19,117444,7162
AP_Anantapur,20,60972,8832
AP_Anantapur,21,50427,8729
AP_Anantapur,22,25728,736
AP_Anantapur,23,122622,21682
AP_Anantapur,24,105115,28536
AP_Anantapur,25,19108,979
AP_Anantapur,26,85573,93324
AP_Anantapur,27,29879,59407
AP_Anantapur,28,84350,66175
AP_Anantapur,29,107455,64406
AP_Anantapur,30,104964,59515
AP_Chittoor,1,5540,0
AP_Chittoor,2,5056,0
AP_Chittoor,3,11874,0
AP_Chittoor,4,7110,340
AP_Chittoor,5,8949,6661
AP_Chittoor,6,11346,3951
AP_Chittoor,7,13430,4543
AP_Chittoor,8,17754,6309
AP_Chittoor,9,53306,4930
AP_Chittoor,10,75213,5476
AP_Chittoor,11,54834,3539
AP_Chittoor,12,50493,9503
