districtid,vaccineratio
OR_Khordha,0.23978588088987404
BR_Patna,0.9013065527370867
AS_Barpeta,1.0108424642485265
MH_Bhandara,1.2972915339905424
MH_Gondia,1.3392971977765444
MH_Washim,1.4878048780487805
AS_Sonitpur,1.5775150728508154
DL_New Delhi,1.807906233514809
OR_Ganjam,1.8458864815416507
DL_South East Delhi,2.1773821257593435
TG_Ranga Reddy,2.2991279870520533
TG_Hyderabad,2.3976989721594575
RJ_Jaipur,2.70500735532927
DL_West Delhi,2.719641318819015
TN_Chennai,2.7462119782838705
MH_Sindhudurg,2.800118295072271
DL_North West Delhi,2.801343164973955
TG_Medchal Malkajgiri,2.8274046178236913
GJ_Chhota Udaipur,2.8491203836284105
MH_Parbhani,2.8499903437620704
UP_Amethi,2.920048286285797
MH_Buldhana,2.9435773716804072
GJ_Aravalli,2.953408715334462
MP_Jabalpur,2.973040505273043
GJ_Amreli,2.9840955976483827
TN_Vellore,3.058858719133238
UP_Fatehpur,3.096324337308666
MH_Ratnagiri,3.1319719082117152
JH_Khunti,3.146536941772907
DL_Central Delhi,3.2733846574134113
RJ_Jaipur,3.2835425888876637
GJ_Navsari,3.284037421307405
MH_Dhule,3.3158940397350993
MH_Nanded,3.3810206939206777
GJ_Gir Somnath,3.408247222835481
JH_Hazaribagh,3.4137346538489477
HR_Palwal,3.4166255984229794
MH_Gadchiroli,3.4534024613550227
CT_Raipur,3.4971378705757084
MH_Amravati,3.516748992564502
UP_Sonbhadra,3.527188986569397
HR_Karnal,3.557926319363847
DL_South Delhi,3.610490203248519
GJ_Kheda,3.6181269200501807
DL_North Delhi,3.6288372292884152
TG_Mulugu,3.693839496182669
MH_Hingoli,3.7450414895770088
BR_East Champaran,3.8201006016372423
JH_Palamu,3.83923385144947
PB_Fatehgarh Sahib,3.8837889639866843
MH_Osmanabad,3.8930019599907952
TG_Yadadri Bhuvanagiri,3.9145485618704776
CT_Rajnandgaon,3.991869832408164
MH_Latur,3.9962390740412763
JH_Lohardaga,4.0132459604021395
GJ_Porbandar,4.093538986424053
TG_Jayashankar Bhupalapally,4.1297133855066575
MH_Ahmednagar,4.224149999391335
RJ_Ajmer,4.246884306868534
GJ_Devbhumi Dwarka,4.271444603326877
AP_Prakasam,4.290418642085539
BR_Purnia,4.315127334605441
JH_Ranchi,4.343497769140689
AP_Guntur,4.3479486436178325
HR_Sonipat,4.381475384087353
MP_Tikamgarh,4.409489898397047
