stateid,weekid,dose1,dose2
AN,1,897,0
AN,2,1140,0
AN,3,720,0
AN,4,260,0
AN,5,1667,946
AN,6,1322,1014
AN,7,2259,250
AN,8,3105,530
AN,9,1856,871
AN,10,1956,1469
AN,11,2793,143
AN,12,11865,347
AN,13,37588,998
AN,14,19345,2729
AN,15,7206,1791
AN,16,3637,2441
AN,17,2419,1601
AN,18,3547,26
AN,19,4712,10
AN,20,3654,57
AN,21,3737,129
AN,22,5493,154
AN,23,22128,795
AN,24,16001,8472
AN,25,6766,31714
AN,26,14577,20711
AN,27,12045,9279
AN,28,14701,5073
AN,29,7602,2699
AN,30,17688,3038
AP,1,66164,0
AP,2,63191,0
AP,3,112367,0
AP,4,67569,6233
AP,5,100311,81237
AP,6,122137,50342
AP,7,117103,45307
AP,8,195605,54193
AP,9,445838,61917
AP,10,667934,73728
AP,11,604379,47066
AP,12,714537,101863
AP,13,728589,76034
AP,14,533378,528629
AP,15,631642,392788
AP,16,261632,454871
AP,17,48122,193005
AP,18,79646,180783
AP,19,1710375,133539
AP,20,956613,90939
AP,21,1025779,47528
AP,22,593828,32276
AP,23,2069992,254321
AP,24,1251921,361815
AP,25,299752,204683
AP,26,1035127,644884
AP,27,402582,537279
AP,28,1186472,917332
AP,29,1380322,567504
AP,30,1039018,345116
AR,1,2264,0
AR,2,3748,0
AR,3,2528,0
AR,4,3201,382
AR,5,5999,3483
AR,6,5590,2619
AR,7,10871,2555
AR,8,8466,2355
AR,9,9789,3283
AR,10,10759,3237
AR,11,8896,2745
AR,12,20488,6427
AR,13,28520,6483
AR,14,23285,8943
AR,15,20709,8244
AR,16,14195,12477
AR,17,9650,7054
AR,18,23129,158
AR,19,8453,192
AR,20,21056,314
AR,21,33337,412
AR,22,58819,553
AR,23,64802,1575
AR,24,59217,7064
AR,25,51582,19106
AR,26,32037,20171
AR,27,22407,17427
AR,28,15547,12537
AR,29,15336,7688
AR,30,11220,13658
AS,1,3660,0
AS,2,26512,0
AS,3,47925,0
AS,4,43552,2006
AS,5,31279,8584
AS,6,42047,17168
AS,7,148225,24810
AS,8,126257,31299
AS,9,87796,24516
AS,10,332813,33017
AS,11,140106,32003
AS,12,205557,76554
AS,13,59332,40762
AS,14,297490,122152
AS,15,427578,140664
AS,16,325788,103004
AS,17,285358,74338
AS,18,306857,46646
AS,19,308167,49656
AS,20,220749,20593
AS,21,374072,69556
AS,22,427672,138079
AS,23,1389486,127319
AS,24,643862,111854
AS,25,263231,50524
AS,26,671272,181569
AS,27,720674,184910
AS,28,751281,217665
AS,29,1480218,220949
AS,30,1240836,292703
BR,1,35442,0
BR,2,67342,0
BR,3,224576,0
BR,4,121379,55
BR,5,67654,38347
BR,6,39961,39826
